source,target,route,travel_time,n_trips
64,63,2,120,1072
64,63,3,120,833
64,63,A,120,1111
64,63,C,120,673
64,65,2,60,1072
64,65,3,60,833
64,107,4,60,1192
64,107,5,60,863
64,151,4,90,1192
64,151,5,90,763
64,151,5X,120,100
64,151,J,90,884
64,151,Z,120,30
64,196,A,180,1111
64,196,C,180,673
64,384,J,90,884
64,384,Z,90,30
65,64,2,60,1072
65,64,3,60,833
65,66,2,270,1072
65,66,3,270,833
66,65,2,180,1072
66,65,3,180,833
66,67,2,60,1072
66,67,3,60,833
67,38,N,210,155
67,38,R,210,926
67,38,W,210,10
67,66,2,90,1072
67,66,3,90,833
67,68,2,60,1072
67,68,3,60,833
67,69,4,90,1187
67,69,5,90,610
67,108,4,300,1187
67,108,5,300,510
67,108,5X,300,100
67,197,N,120,149
67,197,R,120,921
67,197,W,120,15
68,67,2,90,1072
68,67,3,90,833
68,69,2,60,1072
68,69,3,60,833
69,67,4,90,1187
69,67,5,90,510
69,67,5X,120,100
69,68,2,90,1072
69,68,3,90,833
69,70,2,90,1072
69,70,3,90,833
69,70,4,90,1187
69,70,5,90,610
70,69,2,90,1072
70,69,3,90,833
70,69,4,90,1187
70,69,5,90,510
70,69,5X,90,100
70,71,2,60,1072
70,71,3,60,833
70,71,4,60,246
70,74,4,240,941
70,74,5,240,610
70,150,N,630,732
70,150,Q,630,30
70,249,D,630,723
70,250,B,120,515
70,250,Q,120,1062
70,410,B,90,515
70,410,D,180,193
70,410,N,180,164
70,410,Q,90,1057
70,410,R,180,926
70,410,W,180,10
70,411,D,120,192
70,411,N,120,174
70,411,R,120,921
70,411,W,120,15
70,414,D,330,724
70,414,N,330,747
71,70,2,60,1072
71,70,3,60,833
71,70,4,60,151
71,72,2,90,1072
71,72,3,90,833
71,72,4,90,246
72,71,2,120,1072
72,71,3,120,833
72,71,4,120,151
72,73,2,90,1072
72,73,3,90,833
72,73,4,90,246
73,72,2,90,1072
73,72,3,90,833
73,72,4,90,151
73,74,2,90,1072
73,74,3,90,833
73,74,4,90,246
74,70,4,240,1036
74,70,5,300,510
74,70,5X,300,100
74,73,2,90,1072
74,73,3,90,833
74,73,4,90,151
74,75,2,150,1047
74,75,5,150,540
74,82,2,90,25
74,82,3,90,833
74,82,4,90,246
74,84,4,210,941
74,84,5,210,70
74,251,FS,180,802
74,422,FS,120,802
75,74,2,150,1042
75,74,5,150,450
75,74,5X,150,100
75,76,2,60,1047
75,76,5,90,540
76,75,2,60,1042
76,75,5,90,450
76,75,5X,90,100
76,77,2,90,1047
76,77,5,90,540
77,76,2,90,1042
77,76,5,90,450
77,76,5X,90,100
77,78,2,90,1047
77,78,5,90,540
78,77,2,60,1042
78,77,5,90,450
78,77,5X,90,100
78,79,2,90,1047
78,79,5,90,540
79,78,2,90,1042
79,78,5,90,450
79,78,5X,90,100
79,80,2,90,1047
79,80,5,90,540
80,79,2,60,1042
80,79,5,60,450
80,79,5X,60,100
80,81,2,120,1047
80,81,5,120,540
81,80,2,120,1042
81,80,5,120,450
81,80,5X,120,100
82,74,2,90,30
82,74,3,90,833
82,74,4,90,182
82,74,5,90,5
82,83,2,90,25
82,83,3,90,833
82,83,4,90,246
83,82,2,120,30
83,82,3,90,833
83,82,4,90,182
83,82,5,120,5
83,84,2,120,25
83,84,3,120,833
83,84,4,120,246
84,74,4,180,1005
84,74,5,210,55
84,83,2,120,30
84,83,3,120,833
84,83,4,120,182
84,83,5,120,5
84,85,2,180,25
84,85,3,150,833
84,85,4,150,192
85,84,2,180,30
85,84,3,150,833
85,84,4,150,198
85,84,5,150,10
85,86,2,90,25
85,86,3,90,833
85,86,4,90,192
86,85,2,90,30
86,85,3,90,833
86,85,4,90,198
86,85,5,90,10
86,87,2,90,25
86,87,3,90,833
86,87,4,90,192
87,86,2,120,30
87,86,3,90,833
87,86,4,90,198
87,86,5,90,10
87,88,2,60,25
87,88,3,60,833
87,88,4,60,192
88,87,2,60,30
88,87,3,60,833
88,87,4,60,198
88,87,5,60,10
88,89,2,90,25
88,89,3,90,833
88,89,4,90,192
88,368,L,90,1477
88,369,L,90,1457
89,88,2,120,30
89,88,3,90,833
89,88,4,90,198
89,88,5,90,10
89,90,2,60,25
89,90,3,60,833
89,90,4,60,192
90,89,2,60,30
90,89,3,60,833
90,89,4,60,198
90,89,5,60,10
90,91,2,90,25
90,91,3,60,833
90,91,4,60,192
91,90,2,90,30
91,90,3,90,833
91,90,4,90,198
91,90,5,90,10
92,93,3,90,959
93,59,3,120,974
93,92,3,120,974
94,95,4,120,1127
95,94,4,120,1102
95,96,4,90,1127
96,95,4,90,1102
96,97,4,120,1187
97,96,4,120,1122
97,98,4,60,1192
98,97,4,60,1122
98,99,4,60,1192
99,98,4,60,1122
99,100,4,90,1192
100,99,4,90,1122
100,101,4,90,1192
101,100,4,90,1122
101,102,4,60,1192
102,101,4,60,1122
102,103,4,60,1192
103,102,4,60,1122
103,104,4,90,1192
104,100,4,300,70
104,103,4,90,1122
104,105,4,120,1192
105,58,4,150,1192
105,104,4,90,1192
105,243,B,150,180
105,243,D,150,826
105,244,B,90,210
105,244,D,90,811
106,58,4,90,1102
106,58,5,150,763
106,58,5X,180,100
106,132,4,150,1057
106,132,5,150,863
107,64,4,60,1192
107,64,5,60,763
107,64,5X,60,100
107,108,4,60,1192
107,108,5,60,863
108,67,4,300,1187
108,67,5,300,610
108,107,4,60,1192
108,107,5,60,763
108,107,5X,90,100
109,110,5,120,926
110,109,5,120,827
110,109,5X,150,100
110,111,5,120,926
111,110,5,120,827
111,110,5X,150,100
111,112,5,150,926
112,111,5,150,827
112,111,5X,150,100
112,113,5,60,926
113,49,5,180,926
113,112,5,60,827
113,112,5X,90,100
114,115,6,150,897
114,115,6X,150,250
