source,target,route_id,travel_time
126,125,L,120
126,127,L,90
127,126,L,60
127,630,L,90
129,130,L,150
129,630,L,90
130,129,L,120
130,131,L,90
131,130,L,90
131,621,L,60
133,134,L,90
133,621,L,90
134,133,L,90
134,135,L,60
135,134,L,90
135,136,L,90
136,135,L,90
136,137,L,120
137,136,L,120
137,138,L,90
138,137,L,90
141,626,FS,90
141,627,FS,120
143,144,A,90
144,143,A,90
144,145,A,120
145,144,A,150
145,146,A,120
146,145,A,120
146,147,A,60
147,146,A,60
147,605,A,120
149,150,A,90
149,150,C,60
149,605,A,90
149,605,C,90
150,149,A,90
150,149,C,90
150,151,A,90
150,151,C,90
151,150,A,90
151,150,C,90
151,152,A,90
151,152,B,120
151,152,C,120
151,153,D,210
151,220,B,90
151,220,D,90
152,151,A,90
152,151,B,90
152,151,C,90
152,153,A,90
152,153,B,90
152,153,C,90
153,151,D,210
153,152,A,90
153,152,B,90
153,152,C,90
153,154,A,90
153,154,B,90
153,154,C,90
153,614,D,480
154,153,A,90
154,153,B,90
154,153,C,90
154,155,A,90
154,155,B,90
154,155,C,90
155,154,A,90
155,154,B,90
155,154,C,90
155,156,A,60
155,156,B,60
155,156,C,60
156,155,A,60
156,155,B,60
156,155,C,60
156,157,A,90
156,157,B,60
156,157,C,60
157,156,A,90
157,156,B,90
157,156,C,90
157,158,A,90
157,158,B,90
157,158,C,90
158,157,A,90
158,157,B,90
158,157,C,90
158,159,A,90
158,159,B,90
158,159,C,90
159,158,A,90
159,158,B,90
159,158,C,90
159,160,A,90
159,160,B,90
159,160,C,90
160,159,A,90
160,159,B,90
160,159,C,90
160,614,A,90
160,614,B,90
160,614,C,90
162,277,E,90
162,611,A,120
162,611,C,120
162,611,E,120
162,614,A,120
162,614,C,120
164,165,A,90
164,165,C,90
164,165,E,90
164,611,A,60
164,611,C,60
164,611,E,60
165,164,A,120
165,164,C,90
165,164,E,90
165,618,A,90
165,618,C,90
165,618,E,90
167,168,A,90
167,168,C,90
167,168,E,90
167,601,F,90
167,601,FX,90
167,601,M,90
167,607,B,180
167,607,D,180
167,618,A,120
167,618,C,120
167,618,E,120
167,619,B,120
167,619,D,120
167,619,F,150
167,619,FX,150
167,619,M,150
168,167,A,120
168,167,C,120
168,167,E,120
168,169,A,90
168,169,C,90
168,169,E,90
169,168,A,90
169,168,C,90
169,168,E,90
169,624,A,120
169,624,C,120
169,624,E,120
173,628,A,180
173,628,C,180
173,636,A,120
173,636,C,120
175,176,A,120
175,176,C,120
175,236,G,90
175,292,G,90
175,636,A,90
175,636,C,90
176,175,A,90
176,175,C,90
176,177,A,90
176,177,C,90
177,176,A,90
177,176,C,90
177,627,A,90
177,627,C,90
179,180,A,120
179,180,C,90
179,627,A,60
179,627,C,60
180,179,A,90
180,179,C,90
180,181,A,90
180,181,C,90
181,180,A,90
181,180,C,90
181,182,A,120
181,182,C,120
182,181,A,90
182,181,C,90
182,183,A,90
182,183,C,90
183,182,A,120
183,182,C,90
183,621,A,90
183,621,C,90
185,186,A,90
185,186,C,90
185,621,A,120
185,621,C,120
186,185,A,90
186,185,C,90
186,187,A,90
186,187,C,90
187,186,A,90
187,186,C,90
187,188,A,90
187,188,C,90
188,187,A,90
188,187,C,90
188,189,A,90
189,188,A,90
189,190,A,90
190,189,A,60
190,191,A,60
191,190,A,60
191,192,A,60
192,191,A,60
192,193,A,90
193,192,A,90
193,194,A,90
194,193,A,60
194,195,A,60
195,194,A,60
196,192,A,180
197,196,A,30
197,198,A,120
198,197,A,120
198,199,A,390
199,198,A,390
199,200,A,240
199,200,H,240
200,199,A,210
200,199,H,210
200,201,A,90
200,201,H,90
201,200,A,90
201,200,H,90
201,202,A,60
201,202,H,60
202,201,A,90
202,201,H,90
202,203,A,90
202,203,H,90
203,202,A,120
203,202,H,120
204,199,A,240
204,205,A,90
205,204,A,90
205,206,A,120
206,205,A,120
206,207,A,90
207,206,A,90
207,208,A,120
208,207,A,90
208,209,A,90
209,208,A,90
210,211,D,120
211,210,D,150
211,212,B,120
211,212,D,90
212,211,B,120
212,211,D,120
212,213,B,120
212,213,D,60
213,212,B,90
213,212,D,90
213,214,B,90
213,214,D,90
214,213,B,90
214,213,D,90
214,215,B,90
214,215,D,90
215,214,B,90
215,214,D,90
215,216,B,90
215,216,D,90
216,215,B,90
216,215,D,90
216,217,B,150
216,217,D,150
217,216,B,120
217,216,D,120
217,218,B,120
217,218,D,120
218,217,B,120
218,217,D,120
218,604,B,150
218,604,D,150
220,151,B,90
220,151,D,90
220,604,B,90
220,604,D,90
221,222,F,120
221,222,FX,120
221,616,F,360
221,616,FX,360
222,221,F,120
222,221,FX,120
222,223,F,150
222,223,FX,150
223,9,N,180
223,9,Q,180
223,222,F,150
223,222,FX,150
223,224,F,150
223,224,FX,150
223,224,M,180
223,477,M,120
223,477,Q,120
223,477,R,120
224,223,F,150
224,223,FX,210
224,223,M,180
224,225,F,90
224,225,FX,90
224,225,M,90
225,224,F,90
225,224,FX,120
225,276,M,120
225,277,B,90
225,277,D,90
225,609,B,90
225,609,D,90
225,609,F,90
225,609,FX,90
225,609,M,90
228,601,F,90
228,601,FX,90
228,601,M,90
228,607,F,90
228,607,FX,120
228,607,M,90
231,26,B,480
231,26,D,480
231,619,B,120
231,619,D,120
232,619,F,90
232,619,FX,90
232,625,F,90
232,625,FX,120
234,235,F,150
234,235,FX,180
234,625,F,60
234,625,FX,90
235,234,F,150
235,234,FX,240
235,636,F,90
235,636,FX,90
236,175,G,90
236,237,F,90
236,237,G,90
236,636,F,120
237,236,F,90
237,236,G,90
237,238,F,90
237,238,G,90
238,237,F,120
238,237,G,120
238,608,F,90
238,608,G,90
240,241,F,90
240,241,G,90
240,243,FX,240
240,608,F,90
240,608,G,90
240,636,FX,330
241,240,F,90
241,240,G,90
241,242,F,120
241,242,G,120
242,241,F,150
242,241,G,150
242,243,F,90
242,243,G,90
243,240,FX,180
243,242,F,90
243,242,G,90
243,244,F,120
243,244,FX,120
244,243,F,120
244,243,FX,120
244,245,F,120
244,245,FX,120
245,244,F,90
245,244,FX,120
245,246,F,60
245,246,FX,60
246,245,F,60
246,245,FX,90
246,247,F,60
246,247,FX,60
247,246,F,60
247,246,FX,60
247,248,F,120
247,248,FX,120
248,247,F,90
248,247,FX,90
